time, rot x, rot y, rot z, accel x, accel y, accel z
8.322413561, 0.38931298, -0.97709924, 4.847328, 22.460938, 36.621094, 1008.3008
8.323658844, -2.0839694, -0.7633588, 2.1450381, 15.625, 47.851563, 1015.625
8.324869851, 0.48854962, 1.5648855, -2.3816793, 25.878906, 34.179688, 1017.08984
8.326092419, 1.9389313, -0.648855, 4.7938933, 14.160156, 50.78125, 1015.1367
8.327318579, -2.312977, 1.221374, -1.167939, 31.25, 45.410156, 1006.34766
8.32854365, 2.9770992, -3.2519083, -0.129771, 19.042969, 34.179688, 1019.53125
8.32976537, -0.77862597, -0.67175573, 1.5877863, 30.273438, 41.992188, 1014.16016
8.330990303, -1.2519084, 2.4198472, -1.351145, 28.808594, 38.57422, 1010.7422
8.332317561, 0.10687023, 0.20610687, 0.52671754, 12.207031, 39.55078, 1004.8828
8.333520408, 1.9007634, 0.8778626, 1.259542, 29.785156, 41.503906, 1008.3008
8.334748828, -0.5954198, 1.4274809, -1.2290076, 8.7890625, 42.48047, 1018.0664
8.335996912, 0.5954198, -2.129771, 2.6946564, 27.832031, 40.527344, 1008.78906
8.337077838, 2.129771, -0.47328246, -1.2061069, 7.8125, 40.527344, 1023.9258
8.338422511, -1.2824427, 0.70229006, 0.35877863, 29.785156, 44.921875, 1008.78906
8.3396388, 2.610687, 1.6030535, 3.1145039, 23.925781, 42.96875, 1013.1836
8.340865561, -1.0992366, 2.129771, -1.0229008, 28.808594, 37.597656, 1021.4844
8.342108845, -0.03816794, 3.2137403, 0.78625953, 25.390625, 42.96875, 1011.71875
8.343312148, 1.4045801, 2.0992367, -0.5954198, 14.160156, 47.851563, 1012.6953
8.344539167, -0.740458, 1.2061069, -1.2061069, 11.71875, 41.992188, 1001.9531
8.345631867, -0.870229, 3.129771, -0.519084, 20.996094, 42.96875, 1017.08984
8.346854988, 2.4122138, 0.36641222, 2.4732823, 21.972656, 38.57422, 1011.23047
8.348119904, -0.47328246, 1.2671756, 0.045801528, 17.089844, 36.132813, 1011.71875
8.349356111, 0.3053435, 0.091603056, 1.7099236, 20.507813, 41.015625, 1022.46094
8.350685699, -1.5725191, 3.8396947, -1.2366412, 26.367188, 41.015625, 1016.60156
8.351891304, -0.32824427, 2.5648854, -0.6183206, 26.367188, 35.64453, 1017.08984
8.353188126, 0.9312977, 0.7557252, 1.9541985, 19.042969, 55.664063, 1018.5547
8.354409356, 0.8244275, -0.15267175, 3.961832, 26.367188, 43.45703, 1011.23047
8.355661693, -1.2748091, 1.3816794, 0.3129771, 17.089844, 55.664063, 1018.0664
8.356867706, 2.2519083, -1.1374046, 0.89312977, 27.832031, 43.45703, 1018.5547
8.358094686, 1.5954199, 0.091603056, 1.3664122, 14.160156, 45.898438, 1025.8789
8.359355428, -1.9236641, 2.5038168, -0.8244275, 7.3242188, 33.203125, 1000.97656
8.360526719, 2.1755726, 1.6564885, 0.610687, 24.902344, 35.15625, 1020.5078
8.361680334, 0.4351145, 1.3358779, -1.3435115, 24.902344, 49.316406, 1011.23047
8.362992463, -0.83206105, 0.48091602, -0.54198474, 20.996094, 43.945313, 1013.6719
8.364314284, -0.5954198, 1.3587786, -0.90839696, 15.625, 49.316406, 1012.20703
8.365519071, 1.8167939, 1.2137405, 2.557252, 18.066406, 52.734375, 1016.1133
8.366736905, 0.48091602, 1.3129771, -1.5114504, 13.183594, 41.503906, 1018.5547
8.367965661, 1.167939, -1.4198474, 1.0229008, 11.230469, 38.57422, 1005.3711
8.369210981, 1.4656489, -1.7709924, 2.687023, 17.578125, 45.898438, 1009.27734
8.370412067, -1.8396946, 3.8549619, 0.648855, 18.554688, 40.527344, 1006.83594
8.371646874, 1.7175573, 0.79389316, 2.0839694, 21.972656, 48.828125, 1022.9492
8.37276979, -0.34351146, -0.6183206, -0.35114503, 12.207031, 51.757813, 999.5117
8.374087025, 0.89312977, 1.1755725, -1.4656489, 16.601563, 49.804688, 1003.90625
8.375311536, 1.091603, -1.2442749, -0.46564886, 23.925781, 54.6875, 1013.1836
8.376539591, -1.038168, 4.1221375, 1.5877863, 12.207031, 47.36328, 1010.2539
8.377806654, 1.6564885, -1.1908396, 1.648855, 13.671875, 30.273438, 1020.9961
8.378995301, 1.519084, -1.091603, 2.6564887, 0, 32.226563, 1024.9023
8.380189384, -1.9236641, 3.6412213, -0.53435117, 11.230469, 49.316406, 1014.64844
8.381419362, 0.8244275, -1.870229, 0.48854962, 8.7890625, 49.804688, 1008.3008
8.382662705, -1.9694656, 1.3053435, 2.40458, 21.972656, 45.898438, 1011.71875
8.383866721, 1.2442749, 0.7633588, 1.8244275, 12.207031, 44.921875, 1013.6719
8.385091049, 1.351145, -1.4045801, 2.5114503, 16.601563, 38.085938, 1020.9961
8.386355326, 0.5114504, 2.8778627, -0.3740458, 21.484375, 29.296875, 1013.6719
8.387535234, 2.8244274, -0.9541985, 0.7480916, 3.90625, 44.433594, 1004.39453
8.388761682, -0.007633588, -0.49618322, -1.5419847, 18.554688, 40.527344, 1004.8828
8.390028613, -2.427481, 1.167939, 1.1145039, 18.066406, 38.57422, 1016.60156
